Country,Date,Cases,Deaths
Sierra Leone,30/1/2015,10561,3216
United Kingdom,30/1/2015,1,0
Senegal,30/1/2015,1,0
United States of America,30/1/2015,4,1
Guinea,30/1/2015,2920,1913
Nigeria,30/1/2015,20,8
Mali,30/1/2015,8,6
Liberia,2/2/2015,8668,3710
Sierra Leone,2/2/2015,10707,3274
United States of America,2/2/2015,4,1
Nigeria,2/2/2015,20,8
Senegal,2/2/2015,1,0
Guinea,2/2/2015,2959,1937
Mali,2/2/2015,8,6
Spain,2/2/2015,1,0
United Kingdom,2/2/2015,1,0
Guinea,3/2/2015,2975,1944
Mali,3/2/2015,8,6
Senegal,3/2/2015,1,0
Liberia,3/2/2015,8729,3739
Nigeria,3/2/2015,20,8
United Kingdom,3/2/2015,1,0
Spain,3/2/2015,1,0
Sierra Leone,3/2/2015,10740,3276
United States of America,3/2/2015,4,1
Sierra Leone,4/2/2015,10740,3276
Mali,4/2/2015,8,6
Liberia,4/2/2015,8745,3746
Guinea,4/2/2015,2975,1944
Spain,4/2/2015,1,0
United Kingdom,4/2/2015,1,0
Senegal,4/2/2015,1,0
Nigeria,4/2/2015,20,8
United States of America,4/2/2015,4,1
United Kingdom,5/2/2015,1,0
United States of America,5/2/2015,4,1
Mali,5/2/2015,8,6
Guinea,5/2/2015,2986,1947
Sierra Leone,5/2/2015,10756,3286
Nigeria,5/2/2015,20,8
Liberia,5/2/2015,8745,3746
Senegal,5/2/2015,1,0
Spain,5/2/2015,1,0
Nigeria,6/2/2015,20,8
Mali,6/2/2015,8,6
Spain,6/2/2015,1,0
Senegal,6/2/2015,1,0
Sierra Leone,6/2/2015,10792,3301
Liberia,6/2/2015,8745,3746
United States of America,6/2/2015,4,1
United Kingdom,6/2/2015,1,0
Guinea,6/2/2015,2988,1957
Guinea,10/2/2015,3044,1995
Spain,10/2/2015,1,0
Mali,10/2/2015,8,6
United States of America,10/2/2015,4,1
Liberia,10/2/2015,8881,3826
Senegal,10/2/2015,1,0
Sierra Leone,10/2/2015,10934,3341
United Kingdom,10/2/2015,1,0
Nigeria,10/2/2015,20,8
United States of America,11/2/2015,4,1
Nigeria,11/2/2015,20,8
Sierra Leone,11/2/2015,10934,3341
Guinea,11/2/2015,3044,1995
Senegal,11/2/2015,1,0
Liberia,11/2/2015,8881,3826
Mali,11/2/2015,8,6
Spain,11/2/2015,1,0
United Kingdom,11/2/2015,1,0
Guinea,12/2/2015,3068,2018
Sierra Leone,12/2/2015,10954,3350
Liberia,12/2/2015,8881,3826
Nigeria,12/2/2015,20,8
United Kingdom,12/2/2015,1,0
Mali,12/2/2015,8,6
Senegal,12/2/2015,1,0
Spain,12/2/2015,1,0
United States of America,12/2/2015,4,1
Sierra Leone,13/2/2015,10987,3363
Senegal,13/2/2015,1,0
Spain,13/2/2015,1,0
Mali,13/2/2015,8,6
Guinea,13/2/2015,3081,2032
United Kingdom,13/2/2015,1,0
United States of America,13/2/2015,4,1
Liberia,13/2/2015,8931,3858
Nigeria,13/2/2015,20,8
Liberia,16/2/2015,9007,3900
United States of America,16/2/2015,4,1
Mali,16/2/2015,8,6
United Kingdom,16/2/2015,1,0
Guinea,16/2/2015,3101,2052
Senegal,16/2/2015,1,0
Spain,16/2/2015,1,0
Sierra Leone,16/2/2015,11074,3401
Nigeria,16/2/2015,20,8
Nigeria,17/2/2015,20,8
Liberia,17/2/2015,9007,3900
United States of America,17/2/2015,4,1
Guinea,17/2/2015,3108,2057
Sierra Leone,17/2/2015,11103,3408
Spain,17/2/2015,1,0
Mali,17/2/2015,8,6
United Kingdom,17/2/2015,1,0
Senegal,17/2/2015,1,0
Sierra Leone,18/2/2015,11103,3408
United Kingdom,18/2/2015,1,0
Nigeria,18/2/2015,20,8
Spain,18/2/2015,1,0
Mali,18/2/2015,8,6
Liberia,18/2/2015,9007,3900
Senegal,18/2/2015,1,0
Guinea,18/2/2015,3108,2057
United States of America,18/2/2015,4,1
Nigeria,19/2/2015,20,8
United States of America,19/2/2015,4,1
Liberia,19/2/2015,9096,3947
Senegal,19/2/2015,1,0
Sierra Leone,19/2/2015,11155,3423
Spain,19/2/2015,1,0
Mali,19/2/2015,8,6
Guinea,19/2/2015,3115,2067
United Kingdom,19/2/2015,1,0
United Kingdom,20/2/2015,1,0
Liberia,20/2/2015,9096,3947
Guinea,20/2/2015,3120,2072
United States of America,20/2/2015,4,1
Nigeria,20/2/2015,20,8
Sierra Leone,20/2/2015,11155,3423
Mali,20/2/2015,8,6
Spain,20/2/2015,1,0
Senegal,20/2/2015,1,0
Liberia,23/2/2015,9229,4032
Senegal,23/2/2015,1,0
Spain,23/2/2015,1,0
United Kingdom,23/2/2015,1,0
Mali,23/2/2015,8,6
Sierra Leone,23/2/2015,11155,3423
Nigeria,23/2/2015,20,8
Guinea,23/2/2015,3155,2086
United States of America,23/2/2015,4,1
United Kingdom,25/2/2015,1,0
Sierra Leone,25/2/2015,11301,3461
Liberia,25/2/2015,9238,4037
Nigeria,25/2/2015,20,8
Mali,25/2/2015,8,6
United States of America,25/2/2015,4,1
Guinea,25/2/2015,3155,2091
Senegal,25/2/2015,1,0
Spain,25/2/2015,1,0
Mali,26/2/2015,8,6
Senegal,26/2/2015,1,0
Guinea,26/2/2015,3175,2101
Sierra Leone,26/2/2015,11341,3479
United Kingdom,26/2/2015,1,0
United States of America,26/2/2015,4,1
Liberia,26/2/2015,9265,4057
Nigeria,26/2/2015,20,8
Spain,26/2/2015,1,0
Sierra Leone,27/2/2015,11370,3490
Mali,27/2/2015,8,6
Nigeria,27/2/2015,20,8
United States of America,27/2/2015,4,1
Guinea,27/2/2015,3190,2113
United Kingdom,27/2/2015,1,0
Senegal,27/2/2015,1,0
Spain,27/2/2015,1,0
Liberia,27/2/2015,9265,4057
Guinea,2/3/2015,3205,2127
United Kingdom,2/3/2015,1,0
Sierra Leone,2/3/2015,11443,3530
Spain,2/3/2015,1,0
Nigeria,2/3/2015,20,8
Mali,2/3/2015,8,6
Liberia,2/3/2015,9265,4057
United States of America,2/3/2015,4,1
Senegal,2/3/2015,1,0
Liberia,4/3/2015,9265,4057
Nigeria,4/3/2015,20,8
Senegal,4/3/2015,1,0
United States of America,4/3/2015,4,1
Mali,4/3/2015,8,6
Spain,4/3/2015,1,0
Sierra Leone,4/3/2015,11443,3530
Guinea,4/3/2015,3205,2127
United Kingdom,4/3/2015,1,0
Nigeria,5/3/2015,20,8
United Kingdom,5/3/2015,1,0
Guinea,5/3/2015,3237,2141
Spain,5/3/2015,1,0
Liberia,5/3/2015,9249,4117
Senegal,5/3/2015,1,0
Mali,5/3/2015,8,6
Sierra Leone,5/3/2015,11497,3565
United States of America,5/3/2015,4,1
United States of America,6/3/2015,4,1
Mali,6/3/2015,8,6
Nigeria,6/3/2015,20,8
Liberia,6/3/2015,9249,4117
Sierra Leone,6/3/2015,11517,3576
Guinea,6/3/2015,3248,2147
Spain,6/3/2015,1,0
Senegal,6/3/2015,1,0
United Kingdom,6/3/2015,1,0
Guinea,10/3/2015,3285,2170
Mali,10/3/2015,8,6
Sierra Leone,10/3/2015,11619,3629
Spain,10/3/2015,1,0
United States of America,10/3/2015,4,1
United Kingdom,10/3/2015,1,0
Liberia,10/3/2015,9343,4162
Senegal,10/3/2015,1,0
Nigeria,10/3/2015,20,8
Guinea,11/3/2015,3285,2170
United States of America,11/3/2015,4,1
United Kingdom,11/3/2015,1,0
Mali,11/3/2015,8,6
Senegal,11/3/2015,1,0
Nigeria,11/3/2015,20,8
Liberia,11/3/2015,9343,4162
Spain,11/3/2015,1,0
Sierra Leone,11/3/2015,11619,3629
Nigeria,12/3/2015,20,8
Spain,12/3/2015,1,0
United Kingdom,12/3/2015,1,0
United States of America,12/3/2015,4,1
Sierra Leone,12/3/2015,11677,3655
Liberia,12/3/2015,9343,4162
Guinea,12/3/2015,3330,2187
Senegal,12/3/2015,1,0
Mali,12/3/2015,8,6
Spain,13/3/2015,1,0
Liberia,13/3/2015,9482,4241
Sierra Leone,13/3/2015,11696,3663
United States of America,13/3/2015,4,1
Guinea,13/3/2015,3331,2192
United Kingdom,13/3/2015,1,0
Nigeria,13/3/2015,20,8
Senegal,13/3/2015,1,0
Mali,13/3/2015,8,6
Mali,16/3/2015,8,6
Guinea,16/3/2015,3373,2216
